shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10109,45.265459,-74.098352,240006,7.408
10109,45.265867,-74.097979,240007,7.462
10109,45.265867,-74.097979,250001,7.462
10109,45.265897,-74.097952,250002,7.466
10109,45.266046,-74.097823,250003,7.485
10109,45.266101,-74.097789,250004,7.492
10109,45.266194,-74.097719,250005,7.504
10109,45.266498,-74.097551,250006,7.540
10109,45.266853,-74.097437,250007,7.580
10109,45.267062,-74.097402,250008,7.604
10109,45.267514,-74.097359,250009,7.654
10109,45.267767,-74.097328,250010,7.682
10109,45.268066,-74.097286,250011,7.716
10109,45.268194,-74.097232,250012,7.731
10109,45.268558,-74.097132,250013,7.772
10109,45.268859,-74.097014,250014,7.807
10109,45.269226,-74.096851,250015,7.849
10109,45.269549,-74.096633,250016,7.889
10109,45.269829,-74.096386,250017,7.926
10109,45.270260,-74.095921,250018,7.986
10109,45.271186,-74.094766,250019,8.123
10109,45.271553,-74.094360,250020,8.175
10109,45.271818,-74.094023,250021,8.214
10109,45.272256,-74.093408,250022,8.283
10109,45.272357,-74.093269,250023,8.299
10109,45.272459,-74.093101,250024,8.316
10109,45.272570,-74.092919,250025,8.335
10109,45.272794,-74.092510,250026,8.376
10109,45.273023,-74.092045,250027,8.420
10109,45.273162,-74.091737,250028,8.449
10109,45.273428,-74.091074,250029,8.509
10109,45.273868,-74.089817,250030,8.619
10109,45.273952,-74.089592,250031,8.639
10109,45.273952,-74.089592,260001,8.639
10109,45.273973,-74.089535,260002,8.644
10109,45.274210,-74.088902,260003,8.700
10109,45.274264,-74.088763,260004,8.713
10109,45.274415,-74.088494,260005,8.740
10109,45.274672,-74.087728,260006,8.806
10109,45.274696,-74.087658,260007,8.812
10109,45.275007,-74.086773,260008,8.890
10109,45.275007,-74.086773,270001,8.890
10109,45.275022,-74.086731,270002,8.894
10109,45.275356,-74.085782,270003,8.977
10109,45.275741,-74.084686,270004,9.073
10109,45.275766,-74.084616,270005,9.079
10109,45.276007,-74.083931,270006,9.139
10109,45.276041,-74.083834,270007,9.148
10109,45.276067,-74.083759,270008,9.154
10109,45.276067,-74.083759,280001,9.154
10109,45.276279,-74.083156,280002,9.207
10109,45.276428,-74.082733,280003,9.244
10109,45.276595,-74.082220,280004,9.289
10109,45.276653,-74.082008,280005,9.306
10109,45.276685,-74.081870,280006,9.318
10109,45.276718,-74.081699,280007,9.332
10109,45.276752,-74.081514,280008,9.347
10109,45.276797,-74.081154,280009,9.376
10109,45.276820,-74.080783,280010,9.405
10109,45.276823,-74.080593,280011,9.420
10109,45.276811,-74.080216,280012,9.449
10109,45.276781,-74.079838,280013,9.479
10109,45.276724,-74.079291,280014,9.523
10109,45.276688,-74.078975,280015,9.548
10109,45.276688,-74.078975,290001,9.548
10109,45.276681,-74.078913,290002,9.553
10109,45.276545,-74.077711,290003,9.648
10109,45.276511,-74.077406,290004,9.672
10109,45.276418,-74.076597,290005,9.737
10109,45.276354,-74.076012,290006,9.783
10109,45.276342,-74.075852,290007,9.796
10109,45.276315,-74.075509,290008,9.823
10109,45.276314,-74.075138,290009,9.852
10109,45.276322,-74.074950,290010,9.867
10109,45.276359,-74.074575,290011,9.897
10109,45.276386,-74.074389,290012,9.912
10109,45.276461,-74.074021,290013,9.942
10109,45.276554,-74.073653,290014,9.972
10109,45.276660,-74.073291,290015,10.003
10109,45.276719,-74.073114,290016,10.018
10109,45.276853,-74.072766,290017,10.050
10109,45.277003,-74.072433,290018,10.081
10109,45.277085,-74.072271,290019,10.096
10109,45.277265,-74.071960,290020,10.128
10109,45.277464,-74.071669,290021,10.160
10109,45.277679,-74.071394,290022,10.192
10109,45.277818,-74.071234,290023,10.212
10109,45.278522,-74.070411,290024,10.313
10109,45.279134,-74.069698,290025,10.401
10109,45.279160,-74.069667,290026,10.405
10109,45.279160,-74.069667,300001,10.405
10109,45.279284,-74.069523,300002,10.423
10109,45.279822,-74.068887,300003,10.501
10109,45.280513,-74.068077,300004,10.601
10109,45.281285,-74.067175,300005,10.712
10109,45.282892,-74.065301,300006,10.943
10109,45.282892,-74.065301,310001,10.943
10109,45.283882,-74.064147,310002,11.086
10109,45.284497,-74.063393,310003,11.176
10109,45.284725,-74.063071,310004,11.212
10109,45.284834,-74.062903,310005,11.230
10109,45.285038,-74.062552,310006,11.266
10109,45.285226,-74.062179,310007,11.302
10109,45.285399,-74.061794,310008,11.338
10109,45.285480,-74.061595,310009,11.355
10109,45.285629,-74.061186,310010,11.392
10109,45.285697,-74.060973,310011,11.410
10109,45.285818,-74.060536,310012,11.447
10109,45.285870,-74.060313,310013,11.465
10109,45.285962,-74.059854,310014,11.503
10109,45.286442,-74.057213,310015,11.717
10109,45.286615,-74.056260,310016,11.794
10109,45.287452,-74.051647,310017,12.168
10109,45.287452,-74.051647,320001,12.168
10109,45.287464,-74.051579,320002,12.173
10109,45.287795,-74.049755,320003,12.321
10109,45.287806,-74.049695,320004,12.326
10109,45.287806,-74.049695,330001,12.326
10109,45.287980,-74.048740,330002,12.403
10109,45.287980,-74.048740,340001,12.403
10109,45.287992,-74.048675,340002,12.409
10109,45.288302,-74.046975,340003,12.547
10109,45.288387,-74.046511,340004,12.584
10109,45.288387,-74.046511,350001,12.584
10109,45.288404,-74.046417,350002,12.592
10109,45.288655,-74.045045,350003,12.703
10109,45.289209,-74.042013,350004,12.949
10109,45.289459,-74.040637,350005,13.060
10109,45.289484,-74.040500,350006,13.071
10109,45.289594,-74.039889,350007,13.121
10109,45.289606,-74.039825,350008,13.126
10109,45.289606,-74.039825,360001,13.126
10109,45.289735,-74.039108,360002,13.184
10109,45.289759,-74.038975,360003,13.195
10109,45.289941,-74.038018,360004,13.273
10109,45.289947,-74.037987,360005,13.275
10109,45.290090,-74.037420,360006,13.322
10109,45.290207,-74.037049,360007,13.354
10109,45.290275,-74.036869,360008,13.370
10109,45.290329,-74.036742,360009,13.382
10109,45.290401,-74.036572,360010,13.398
10109,45.290401,-74.036572,370001,13.398
10109,45.290428,-74.036506,370002,13.403
10109,45.290506,-74.036346,370003,13.419
10109,45.290684,-74.036017,370004,13.451
10109,45.290881,-74.035704,370005,13.484
10109,45.290988,-74.035558,370006,13.501
10109,45.291212,-74.035274,370007,13.534
10109,45.291331,-74.035142,370008,13.551
10109,45.291579,-74.034893,370009,13.585
10109,45.291754,-74.034743,370010,13.607
10109,45.291840,-74.034672,370011,13.618
10109,45.292113,-74.034480,370012,13.652
10109,45.292254,-74.034395,370013,13.669
10109,45.292549,-74.034239,370014,13.704
10109,45.292943,-74.034051,370015,13.751
10109,45.292990,-74.034028,370016,13.756
10109,45.292990,-74.034028,380001,13.756
10109,45.293771,-74.033655,380002,13.848
10109,45.293785,-74.033649,380003,13.850
10109,45.293785,-74.033649,390001,13.850
10109,45.293829,-74.033628,390002,13.855
10109,45.294120,-74.033488,390003,13.889
10109,45.295674,-74.032746,390004,14.071
10109,45.295730,-74.032719,390005,14.078
10109,45.296402,-74.032397,390006,14.157
10109,45.296966,-74.032128,390007,14.223
10109,45.297049,-74.032088,390008,14.233
10109,45.297049,-74.032088,400001,14.233
10109,45.297304,-74.031966,400002,14.262
10109,45.298034,-74.031617,400003,14.348
10109,45.298326,-74.031468,400004,14.383
10109,45.298469,-74.031383,400005,14.400
10109,45.298595,-74.031297,400006,14.415
10109,45.298737,-74.031185,400007,14.434
10109,45.298860,-74.031070,400008,14.450
10109,45.299087,-74.030825,400009,14.482
10109,45.299190,-74.030695,400010,14.497
10109,45.299379,-74.030412,400011,14.528
10109,45.299464,-74.030265,400012,14.543
10109,45.299618,-74.029948,400013,14.573
10109,45.299749,-74.029611,400014,14.603
10109,45.299857,-74.029249,400015,14.634
10109,45.299933,-74.028869,400016,14.665
10109,45.299984,-74.028475,400017,14.696
10109,45.300001,-74.028070,400018,14.728
10109,45.300001,-74.027145,400019,14.801
10109,45.299987,-74.025559,400020,14.925
10109,45.299986,-74.025549,400021,14.926
10109,45.299986,-74.025549,410001,14.926
10109,45.299982,-74.025034,410002,14.966
10109,45.299974,-74.024137,410003,15.037
10109,45.299968,-74.023545,410004,15.083
10109,45.299967,-74.023428,410005,15.092
10109,45.299967,-74.023428,420001,15.092
10109,45.299919,-74.018080,420002,15.512
10109,45.299915,-74.017485,420003,15.559
10109,45.299914,-74.017230,420004,15.579
10109,45.299914,-74.017230,430001,15.579
10109,45.299908,-74.016076,430002,15.669
10109,45.299876,-74.012839,430003,15.924
10109,45.299846,-74.009846,430004,16.158
10109,45.299846,-74.009726,430005,16.168
10109,45.299845,-74.009520,430006,16.184
10109,45.299843,-74.008851,430007,16.236
10109,45.299858,-74.008110,430008,16.295
10109,45.299869,-74.007881,430009,16.313
10109,45.299882,-74.007615,430010,16.334
10109,45.299910,-74.007277,430011,16.360
10109,45.299922,-74.007126,430012,16.372
10109,45.299962,-74.006798,430013,16.398
10109,45.299980,-74.006641,430014,16.411
10109,45.299987,-74.006589,430015,16.415
10109,45.300047,-74.006159,430016,16.449
10109,45.300094,-74.005860,430017,16.473
10109,45.300094,-74.005860,440001,16.473
10109,45.300619,-74.002519,440002,16.742
10109,45.300704,-74.002045,440003,16.780
10109,45.300801,-74.001555,440004,16.820
10109,45.300990,-74.000707,440005,16.890
10109,45.301257,-73.999665,440006,16.977
10109,45.301405,-73.999116,440007,17.023
10109,45.301513,-73.998714,440008,17.057
10109,45.301513,-73.998714,450001,17.057
10109,45.302990,-73.993248,450002,17.516
10109,45.303011,-73.993168,450003,17.523
10109,45.303011,-73.993168,460001,17.523
10109,45.303550,-73.991173,460002,17.690
10109,45.304119,-73.989098,460003,17.865
10109,45.304176,-73.988892,460004,17.882
10109,45.304176,-73.988892,470001,17.882
10109,45.304181,-73.988877,470002,17.884
10109,45.304317,-73.988429,470003,17.922
10109,45.304471,-73.987996,470004,17.960
10109,45.304641,-73.987573,470005,17.998
10109,45.304732,-73.987367,470006,18.017
10109,45.304928,-73.986969,470007,18.055
10109,45.305139,-73.986586,470008,18.093
10109,45.305361,-73.986216,470009,18.132
10109,45.305707,-73.985677,470010,18.189
10109,45.306367,-73.984678,470011,18.296
10109,45.307084,-73.983592,470012,18.413
10109,45.307909,-73.982325,470013,18.548
10109,45.308127,-73.981955,470014,18.586
10109,45.308340,-73.981572,470015,18.624
10109,45.308544,-73.981180,470016,18.662
10109,45.308739,-73.980773,470017,18.701
10109,45.308928,-73.980358,470018,18.740
10109,45.308997,-73.980189,470019,18.755
10109,45.309187,-73.979722,470020,18.797
10109,45.312221,-73.971730,470021,19.509
10109,45.312303,-73.971514,470022,19.528
10109,45.312419,-73.971205,470023,19.556
10109,45.312419,-73.971205,480001,19.556
10109,45.312472,-73.971063,480002,19.569
10109,45.312822,-73.970138,480003,19.651
10109,45.313055,-73.969517,480004,19.706
10109,45.313127,-73.969309,480005,19.724
10109,45.313157,-73.969214,480006,19.732
10109,45.313267,-73.968858,480007,19.763
10109,45.313376,-73.968439,480008,19.798
10109,45.313376,-73.968439,490001,19.798
10109,45.313383,-73.968412,490002,19.800
10109,45.313387,-73.968391,490003,19.802
10109,45.313479,-73.967964,490004,19.837
10109,45.313561,-73.967510,490005,19.874
10109,45.313585,-73.967323,490006,19.889
10109,45.313622,-73.967053,490007,19.910
10109,45.313693,-73.966366,490008,19.965
10109,45.313713,-73.966150,490009,19.982
10109,45.313720,-73.966062,490010,19.988
10109,45.313811,-73.965068,490011,20.067
10109,45.313811,-73.965068,500001,20.067
10109,45.313817,-73.964994,500002,20.073
10109,45.313859,-73.964529,500003,20.110
