stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
78112,boul. Salaberry sud / rue Desparois,  45.363313, -73.751329,,78112,0
78113,boul. St-Joseph / rue Sullivan,  45.354354, -73.729640,,78113,0
78114,boul. St-Joseph / rue Sullivan,  45.354380, -73.729648,,78114,0
78115,rue Parkview / rue Ste-Mary's,  45.349822, -73.726612,,78115,0
78116,boul. St-Jean-Baptiste / rue Poupart,  45.350565, -73.720782,,78116,0
78117,boul. St-Jean-Baptiste / rue Bernard,  45.353539, -73.718896,,78117,0
78118,boul. St-Joseph / rue Prince,  45.355927, -73.728184,,78118,0
78119,boul. St-Joseph / rue Prince,  45.355994, -73.728418,,78119,0
78120,boul. d'Anjou / rue Tremblay,  45.359982, -73.728051,,78120,0
78121,boul. d'Anjou / boul. St-Joseph,  45.359846, -73.727112,,78121,0
78122,boul. St-Francis / place Mary-Élizabeth-Noonan,  45.369764, -73.726123,,78122,0
78123,boul. d'Anjou / boul. Maple,  45.360448, -73.732539,,78123,0
78124,boul. d'Anjou / boul. Maple,  45.360425, -73.732825,,78124,0
78125,boul. St-Jean-Baptiste / boul. St-Francis,  45.368313, -73.710017,,78125,0
78126,boul. St-Jean Baptiste / boul. St-Francis,  45.367864, -73.710515,,78126,0
78127,boul. St-Francis / boul. St-Jean-Baptiste,  45.368372, -73.710700,,78127,0
78128,boul. St-Francis / boul. St-Jean-Baptiste,  45.368834, -73.712612,,78128,0
78130,rue Principal / rue McComber,  45.359596, -73.751235,,78130,0
78131,rue Principale / rue McComber,  45.359380, -73.751789,,78131,0
78132,boul. St-Jean-Baptiste / boul. d'Anjou,  45.358657, -73.715801,,78132,0
78133,boul. St-Joseph / rue Chénier,  45.357996, -73.727665,,78133,0
78134,boul. St-Joseph / rue Chénier,  45.356636, -73.728243,,78134,0
78135,bl.St-Jean-Baptiste/face stationnement Châteauguay,  45.365937, -73.711689,,78135,0
78136,bl.St-Jean-Baptiste/face stationnement Châteauguay,  45.365547, -73.711700,,78136,0
78137,boul. St-Jean-Baptiste / boul. d'Anjou,  45.359699, -73.715281,,78137,0
78138,boul. d'Anjou / rue Yvon,  45.358824, -73.717980,,78138,0
78139,boul. Salaberry nord / rue Ashmore,  45.372998, -73.749755,,78139,0
78140,boul. Salaberry nord / rue Ashmore,  45.373119, -73.749808,,78140,0
78141,boul. St-Francis / rue Elm,  45.368982, -73.728661,,78141,0
78142,boul. St-Francis / rue Elm,  45.368857, -73.728599,,78142,0
78143,boul. Salaberry nord / rue Dubuc,  45.389925, -73.748317,,78143,0
78144,rue Principale / boul. Deguire,  45.358300, -73.756579,,78144,0
78145,rue Principale / boul. Deguire,  45.358169, -73.756682,,78145,0
78147,rue de Champlain / rue Dubé,  45.350101, -73.742522,,78147,0
78149,rue de Champlain / rue Monette,  45.348834, -73.741136,,78149,0
78150,boul. Rameau / face au 220,  45.348992, -73.716032,,78150,0
78151,boul. Rameau / face au 203,  45.348817, -73.716114,,78151,0
78152,rue Marcel / rue Fresnel,  45.362305, -73.711486,,78152,0
78153,boul. Sutterlin / face au 158,  45.351756, -73.758853,,78153,0
78154,boul. Sutterlin / face au 153,  45.351738, -73.758821,,78154,0
78155,boul. d'Anjou / rue de la Verdure,  45.360783, -73.735479,,78155,0
78156,av. de la Verdure / boul. Salaberry sud,  45.356665, -73.738210,,78156,0
78157,boul. d'Anjou / rue de la Verdure,  45.360762, -73.735595,,78157,0
78158,boul. d'Anjou / rue Parent,  45.361649, -73.742970,,78158,0
78160,boul. d'Anjou / face au 288,  45.358821, -73.718764,,78160,0
78161,avenue de la Verdure / face au CLSC,  45.358018, -73.737167,,78161,0
78162,rue Principale / rue Wilbrod,  45.360168, -73.748566,,78162,0
78163,ch. Bernard / boul. d'Youville,  45.379746, -73.753893,,78163,0
78164,rue Robert ouest / rue Orchard,  45.380752, -73.738833,,78164,0
78165,rue Robert / rue Orchard,  45.380733, -73.738876,,78165,0
78168,Stationnement incitatif de Châteauguay-Quai 1,  45.365445, -73.711119,,78168,0
78169,boul. St-Joseph / rue St-Eugène,  45.352271, -73.731585,,78169,0
78170,boul. St-Joseph / rue St-Eugène,  45.352303, -73.731604,,78170,0
78171,boul. d'Anjou / boul. St-Joseph,  45.359788, -73.727642,,78171,0
78172,boul. d'Anjou / boul. Salaberry sud,  45.361785, -73.745015,,78172,0
78173,boul. d'Anjou / rue Thibert,  45.361884, -73.744923,,78173,0
78174,boul. d'Anjou / boul. Vanier,  45.361197, -73.739014,,78174,0
78175,boul. Vanier / boul. d'Anjou,  45.361202, -73.738987,,78175,0
78176,boul. d'Anjou / boul. Vanier,  45.361172, -73.738997,,78176,0
78177,boul. d'Anjou / rue Bell,  45.359416, -73.723383,,78177,0
78178,boul. d'Anjou / rue Bell,  45.359398, -73.723465,,78178,0
78179,boul. St-Jean-Baptiste / rue Marcel,  45.362459, -73.713495,,78179,0
78180,boul. St-Jean-Baptiste / rue Dunver,  45.362695, -73.713615,,78180,0
78181,boul. St-Francis / boul. Maple,  45.368401, -73.730284,,78181,0
78182,boul. Maple / boul. St-Francis,  45.368079, -73.731134,,78182,0
78183,boul. St-Francis / boul. Maple,  45.368013, -73.730884,,78183,0
78184,rue Principale / boul. d'Youville,  45.360154, -73.749221,,78184,0
78185,boul. d'Youville / rue Roy,  45.368501, -73.756124,,78185,0
78186,boul. d'Youville / rue Taylor,  45.376877, -73.752286,,78186,0
78189,boul. St-Francis / boul. Salaberry nord,  45.369366, -73.751545,,78189,0
78190,boul. St-Francis / boul. Salaberry Nord,  45.369326, -73.751544,,78190,0
78191,boul. Salaberry nord / boul. St-Francis,  45.369299, -73.751534,,78191,0
78193,rue Notre-Dame nord / rue Taylor,  45.375042, -73.760206,,78193,0
78194,rue Notre-Dame nord / rue Jeanne-d'Arc,  45.373778, -73.759141,,78194,0
78197,rue Letendre / rue Gouin,  45.365423, -73.758676,,78197,0
78198,boul. Deguire / rue Letendre,  45.365209, -73.759355,,78198,0
78199,boul. Deguire / rue Letendre,  45.365192, -73.759377,,78199,0
78201,boul. Deguire / rue Colpron,  45.362454, -73.758379,,78201,0
78202,boul. Maple / rue McLeod,  45.364469, -73.731817,,78202,0
78203,rue McLeod / boul. Maple,  45.364490, -73.731812,,78203,0
78204,boul. Maple / rue McLeod,  45.364512, -73.731998,,78204,0
78205,boul. Maple / rue Watt,  45.373800, -73.736668,,78205,0
78206,boul. Maple / rue Watt,  45.373848, -73.736709,,78206,0
78207,boul. Maple / rue Gilmour,  45.376025, -73.736136,,78207,0
