shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10202,45.405059,-74.038732,340009,9.771
10202,45.405105,-74.038975,340010,9.790
10202,45.405105,-74.038975,350001,9.790
10202,45.405169,-74.039317,350002,9.818
10202,45.405305,-74.040037,350003,9.877
10202,45.405335,-74.040570,350004,9.918
10202,45.405342,-74.040719,350005,9.930
10202,45.405389,-74.042453,350006,10.066
10202,45.405389,-74.042453,360001,10.066
10202,45.405371,-74.042694,360002,10.085
10202,45.405342,-74.042927,360003,10.104
10202,45.405275,-74.043224,360004,10.128
10202,45.405192,-74.043481,360005,10.150
10202,45.405068,-74.043736,360006,10.175
10202,45.403994,-74.045941,360007,10.384
10202,45.403725,-74.046506,360008,10.438
10202,45.403725,-74.046506,370001,10.438
10202,45.403679,-74.046604,370002,10.447
10202,45.403401,-74.047188,370003,10.502
10202,45.402672,-74.048691,370004,10.645
10202,45.402672,-74.048691,380001,10.645
10202,45.402641,-74.048755,380002,10.651
10202,45.402425,-74.049205,380003,10.694
10202,45.401937,-74.050222,380004,10.790
10202,45.401522,-74.051058,380005,10.870
10202,45.401387,-74.051271,380006,10.893
10202,45.401252,-74.051447,380007,10.913
10202,45.401076,-74.051617,380008,10.937
10202,45.400438,-74.052184,380009,11.021
10202,45.400373,-74.052046,380010,11.034
10202,45.400219,-74.051719,380011,11.065
10202,45.400035,-74.051328,380012,11.101
10203,45.400035,-74.051328,10001,0.000
10203,45.399878,-74.050993,10002,0.032
10203,45.399740,-74.051227,10003,0.056
10203,45.399821,-74.051599,10004,0.086
10203,45.400085,-74.051839,10005,0.121
10203,45.400219,-74.051719,10006,0.139
10203,45.400373,-74.052046,10007,0.169
10203,45.401135,-74.051387,10008,0.269
10203,45.401260,-74.051232,10009,0.287
10203,45.401362,-74.051095,10010,0.303
10203,45.401461,-74.050918,10011,0.320
10203,45.401583,-74.050681,10012,0.343
10203,45.401918,-74.049977,10013,0.410
10203,45.402112,-74.049576,10014,0.448
10203,45.402112,-74.049576,20001,0.448
10203,45.402335,-74.049116,20002,0.492
10203,45.403533,-74.046636,20003,0.727
10203,45.403533,-74.046636,30001,0.727
10203,45.403586,-74.046529,30002,0.737
10203,45.404435,-74.044786,30003,0.903
10203,45.404857,-74.043926,30004,0.985
10203,45.404980,-74.043654,30005,1.011
10203,45.405107,-74.043384,30006,1.036
10203,45.405176,-74.043157,30007,1.056
10203,45.405245,-74.042882,30008,1.078
10203,45.405286,-74.042571,30009,1.103
10203,45.405297,-74.042347,30010,1.121
10203,45.405297,-74.042347,40001,1.121
10203,45.405303,-74.042231,40002,1.130
10203,45.405298,-74.041841,40003,1.160
