route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
35,PI-H19-PI_GTFS-Semaine-01,3550301-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,215
35,PI-H19-PI_GTFS-Semaine-01,3550302-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,315
35,PI-H19-PI_GTFS-Semaine-01,3550303-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,117
35,PI-H19-PI_GTFS-Semaine-01,3550304-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,217
35,PI-H19-PI_GTFS-Semaine-01,3550305-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,317
35,PI-H19-PI_GTFS-Semaine-01,3550306-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,119
35,PI-H19-PI_GTFS-Semaine-01,3550307-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,219
35,PI-H19-PI_GTFS-Semaine-01,3550308-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,203
35,PI-H19-PI_GTFS-Semaine-01,3550309-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,319
35,PI-H19-PI_GTFS-Semaine-01,3550310-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,121
35,PI-H19-PI_GTFS-Semaine-01,3550311-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,321
35,PI-H19-PI_GTFS-Semaine-01,3550312-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,123
35,PI-H19-PI_GTFS-Semaine-01,3550313-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,125
35,PI-H19-PI_GTFS-Semaine-01,3550314-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,305
35,PI-H19-PI_GTFS-Semaine-01,3550315-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,107
35,PI-H19-PI_GTFS-Semaine-01,3550316-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,307
35,PI-H19-PI_GTFS-Semaine-01,3550317-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,109
35,PI-H19-PI_GTFS-Semaine-01,3550318-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,309
35,PI-H19-PI_GTFS-Semaine-01,3550319-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,111
35,PI-H19-PI_GTFS-Semaine-01,3550320-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,311
35,PI-H19-PI_GTFS-Semaine-01,3550321-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,201
35,PI-H19-PI_GTFS-Semaine-01,3550322-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350016,303
35,PI-H19-PI_GTFS-Semaine-01,3550323-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350014,101
35,PI-H19-PI_GTFS-Semaine-01,3550324-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350012,105
35,PI-H19-PI_GTFS-Semaine-01,3550325-PI-H19-PI_GTFS-Semaine-01,Direction Gare Dorion,1,350013,103
