stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
72437,rue Bussière / rue St-François,  45.478027, -74.312258,,72437,0
72438,rue St-François / rue Simon-Pierre-Tremblay,  45.478520, -74.308281,,72438,0
72439,rue Séguin / rue St-François,  45.483239, -74.302465,,72439,0
72440,rue Séguin / rue St-François,  45.483259, -74.302561,,72440,0
72441,rue Séguin / face au Delta Dailyfood,  45.485374, -74.306624,,72441,0
72442,rue Séguin / face au Delta Dailyfood,  45.485089, -74.306929,,72442,0
72443,rue Séguin / rue St-Jean-baptiste,  45.486689, -74.309629,,72443,0
72444,rue Séguin / rue St-Jean-baptiste,  45.486439, -74.309822,,72444,0
72445,rue de la Coopérative / rue St-Jean-Baptiste,  45.479599, -74.291956,,72445,0
72446,rue de la Coopérative / rue St-Jean-Baptiste,  45.479608, -74.292306,,72446,0
72447,boul. Ste-Anne / rue Lalonde,  45.403054, -73.949646,,72447,0
72448,Terminus Macdonald (taxis),  45.403548, -73.941309,,72448,0
72449,Terminus Macdonald,  45.403568, -73.941343,,72449,0
72450,rue St-Pierre / passage piétonnier,  45.405790, -73.950817,,72450,0
72451,rue Christie / rue St-Pierre,  45.406365, -73.951067,,72451,0
72452,rue Poultry Cottages / face à la Ferme Macdonald,  45.413955, -73.939836,,72452,0
72453,John Abbott College,  45.406939, -73.940924,,72453,0
72454,rue Poultry Cottages / face à la Ferme Macdonald,  45.413696, -73.939451,,72454,0
72455,boul. Côte-Vertu / rue Beaulac,  45.495330, -73.706193,,72455,0
72456,boul. Côte-Vertu / rue Beaulac,  45.495852, -73.706150,,72456,0
72457,Terminus Côte-Vertu,  45.513436, -73.682980,,72457,0
72458,Terminus Côte-Vertu,  45.513405, -73.682942,,72458,0
72459,rue Yearling / crois. Cavaletti,  45.427872, -74.158933,,72459,0
72460,côte St-Charles / face au restaurant Mon Village,  45.436538, -74.172645,,72460,0
72461,côte St-Charles / face au restaurant Mon Village,  45.437069, -74.173203,,72461,0
72462,rue Master / rue Carriage-Way,  45.430165, -74.162625,,72462,0
72463,rue Master / rue Carriage-Way,  45.430076, -74.162803,,72463,0
72464,rue Yearling / rue Master,  45.429367, -74.160061,,72464,0
72465,rue Master / rue Yearling,  45.429416, -74.160216,,72465,0
72466,rue Yearling / rue de la Bay-Meadow,  45.428004, -74.159378,,72466,0
72467,rue Yearling / rue Pine-Run,  45.426451, -74.157130,,72467,0
72468,rue Yearling / rue Pine-Run,  45.426449, -74.157198,,72468,0
72469,rue Yearling / rue Stallion,  45.426136, -74.153373,,72469,0
72470,rue Yearling / rue Stallion,  45.426002, -74.153446,,72470,0
72471,côte St-Charles / route Harwood,  45.445706, -74.167857,,72471,0
72472,côte St-Charles / route Harwood,  45.446392, -74.167632,,72472,0
72473,route Harwood / ch. St-Charles,  45.445934, -74.168204,,72473,0
72474,rue Yearling / rue du Bordelais,  45.426705, -74.149625,,72474,0
72475,rue Yearling / rue du Bordelais,  45.426636, -74.149794,,72475,0
72476,rue des Sables / crois. du Sablier,  45.424535, -74.148143,,72476,0
