route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
1,SO-H19-SO_GTFS-Samedi-01,3539744-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,23
1,SO-H19-SO_GTFS-Samedi-01,3539745-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,25
1,SO-H19-SO_GTFS-Semaine-03,3539746-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10109,2
1,SO-H19-SO_GTFS-Semaine-03,3539747-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10109,4
1,SO-H19-SO_GTFS-Semaine-03,3539748-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10109,6
1,SO-H19-SO_GTFS-Semaine-03,3539749-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10109,8
1,SO-H19-SO_GTFS-Semaine-03,3539750-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,10
1,SO-H19-SO_GTFS-Semaine-03,3539751-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,30
1,SO-H19-SO_GTFS-Semaine-03,3539752-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,32
1,SO-H19-SO_GTFS-Semaine-03,3539753-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,34
1,SO-H19-SO_GTFS-Semaine-03,3539754-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,36
1,SO-H19-SO_GTFS-Semaine-03,3539755-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,38
1,SO-H19-SO_GTFS-Semaine-03,3539756-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,12
1,SO-H19-SO_GTFS-Semaine-03,3539757-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,14
1,SO-H19-SO_GTFS-Semaine-03,3539758-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,16
1,SO-H19-SO_GTFS-Semaine-03,3539759-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,18
1,SO-H19-SO_GTFS-Semaine-03,3539760-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,20
1,SO-H19-SO_GTFS-Semaine-03,3539761-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,24
1,SO-H19-SO_GTFS-Semaine-03,3539762-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10111,26
1,SO-H19-SO_GTFS-Semaine-03,3539763-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,10213,28
